tag,year,count,pct
JavaScript,2008,12505,1.5601276048392028
JavaScript,2009,71020,1.9088934761106093
JavaScript,2010,142519,2.290855128918568
JavaScript,2011,284222,2.7900907808773225
JavaScript,2012,403158,3.051216969803201
JavaScript,2013,540310,3.392560665936722
JavaScript,2014,611379,3.7981392951134456
JavaScript,2015,657417,3.990438006925483
JavaScript,2016,491565,4.146043565402632
Julia,2012,25,0.00018920726922219087
Julia,2013,198,0.001243225207483613
Julia,2014,1246,0.007740667510188203
Julia,2015,1828,0.011095728702877752
Julia,2016,1804,0.01521561256799477
LaTeX,2008,127,0.015844558641709614
LaTeX,2009,1702,0.045746785361028684
LaTeX,2010,3125,0.05023135355896775
LaTeX,2011,1308,0.012840099434201216
LaTeX,2012,1075,0.008135912576554208
LaTeX,2013,1281,0.008043290357507617
LaTeX,2014,1473,0.009150885427373374
LaTeX,2015,1832,0.011120008196757134
LaTeX,2016,1249,0.0105345344220762
Lisp,2008,712,0.0888293366369862
Lisp,2009,1661,0.04464477701801918
Lisp,2010,1994,0.03205162207890614
Lisp,2011,2136,0.020968235773282717
Lisp,2012,2333,0.017656822363814852
Lisp,2013,2451,0.015389621129001694
Lisp,2014,1701,0.010567315758290638
Lisp,2015,1586,0.009626819323175117
Lisp,2016,1106,0.00932841879168637
Lua,2008,184,0.022955895984839127
Lua,2009,846,0.02273900141917172
Lua,2010,1500,0.02411104970830452
Lua,2011,2686,0.026367360153107387
Lua,2012,3324,0.025156998515782496
Lua,2013,5232,0.032851284270476074
Lua,2014,5565,0.034572082419098996
Lua,2015,4475,0.027162683777559045
Lua,2016,3568,0.030093850134481893
MATLAB,2008,266,0.03318624093460439
MATLAB,2009,2243,0.06028791983830043
MATLAB,2010,5513,0.08861614469458855
MATLAB,2011,10660,0.1046448470707836
MATLAB,2012,18563,0.14049018154286116
MATLAB,2013,28849,0.18114042429643815
MATLAB,2014,32803,0.20378580765385523
MATLAB,2015,31128,0.18894302136935373
MATLAB,2016,19226,0.16215929447464936
Mathematica,2008,20,0.0024952060853086007
Mathematica,2009,223,0.005993850255880962
Mathematica,2010,841,0.0135182618697894
Mathematica,2011,4759,0.04671715077015564
Mathematica,2012,1455,0.011011863068731509
Mathematica,2013,931,0.005845670041248706
Mathematica,2014,715,0.004441875818446682
Mathematica,2015,540,0.0032777316737166223
Mathematica,2016,343,0.0028929906379280518
Objective-C,2008,1644,0.205105940212367
Objective-C,2009,20374,0.547617511718918
Objective-C,2010,49880,0.8017727729668197
Objective-C,2011,108710,1.0671614751467997
Objective-C,2012,128631,0.9735168098927853
Objective-C,2013,129873,0.8154615523814105
Objective-C,2014,123519,0.7673511317744275
Objective-C,2015,93766,0.5691477557735423
Objective-C,2016,48294,0.40732970807025465
Other,2008,619922,77.34165734083392
Other,2009,2730353,73.38711671612265
Other,2010,4401785,70.75443796017947
Other,2011,7083436,69.53518545550499
Other,2012,9227398,69.83563110425222
Other,2013,11091572,69.64303990413855
Other,2014,11109789,69.01860574425866
Other,2015,11464430,69.58763950390195
Other,2016,8337278,70.31972944549129
PHP,2008,11033,1.3764804369604897
PHP,2009,81141,2.1809282673203456
PHP,2010,177115,2.8469523793909035
PHP,2011,307281,3.016451524648917
PHP,2012,392750,2.9724461994806184
PHP,2013,468392,2.9409936433518404
PHP,2014,463535,2.8796711993058497
PHP,2015,428643,2.6018087737350264
PHP,2016,297703,2.5109387518457575
Pascal,2008,27,0.003368528215166611
Pascal,2009,233,0.006262632778566207
Pascal,2010,432,0.006943982315991702
Pascal,2011,594,0.005831054330210643
Pascal,2012,537,0.00406417214289266
Pascal,2013,756,0.00474685988311925
Pascal,2014,682,0.004236866165287604
Pascal,2015,635,0.003854369653351954
Pascal,2016,395,0.0033315781398879896
Perl,2008,3014,0.37602755705600616
Perl,2009,12244,0.3290973207758139
Perl,2010,18271,0.29368865948028794
Perl,2011,22433,0.22021555856837605
Perl,2012,24393,0.18461331672547607
Perl,2013,28684,0.1801044032902018
Perl,2014,24823,0.15421074607175103
Perl,2015,18298,0.11106654475123473
Perl,2016,10672,0.09001165040223956
