tag,date,count
sql-server,2014,46386
sql-server,2015,44958
sql-server,2016,30494
sqlite,2008,395
sqlite,2009,2538
sqlite,2010,4575
sqlite,2011,8882
sqlite,2012,11173
sqlite,2013,11658
sqlite,2014,10803
sqlite,2015,9522
sqlite,2016,6295
svg,2008,122
svg,2009,390
svg,2010,820
svg,2011,1820
svg,2012,3243
svg,2013,4130
svg,2014,4816
svg,2015,5386
svg,2016,3682
swift,2009,36
swift,2010,55
swift,2011,62
swift,2012,79
swift,2013,110
swift,2014,19410
swift,2015,59409
swift,2016,45237
tcl,2008,42
tcl,2009,245
tcl,2010,427
tcl,2011,663
tcl,2012,962
tcl,2013,1321
tcl,2014,1300
tcl,2015,1176
tcl,2016,852
tsql,2008,1579
tsql,2009,7952
tsql,2010,9564
tsql,2011,11421
tsql,2012,12021
tsql,2013,12964
tsql,2014,10142
tsql,2015,8337
tsql,2016,5877
typescript,2012,870
typescript,2013,1927
typescript,2014,2442
typescript,2015,4841
typescript,2016,10933
vb.net,2008,3386
vb.net,2009,13111
vb.net,2010,15922
vb.net,2011,19531
vb.net,2012,19637
vb.net,2013,23825
vb.net,2014,19758
vb.net,2015,15440
vb.net,2016,9593
vb6,2008,807
vb6,2009,2416
vb6,2010,2309
vb6,2011,2240
vb6,2012,2069
vb6,2013,1743
vb6,2014,1273
vb6,2015,921
vb6,2016,602
vba,2008,503
vba,2009,2870
vba,2010,3289
vba,2011,4841
vba,2012,6712
vba,2013,10753
vba,2014,12697
vba,2015,18203
vba,2016,13144
vbscript,2008,465
vbscript,2009,1233
vbscript,2010,1413
vbscript,2011,1712
vbscript,2012,2119
vbscript,2013,2137
vbscript,2014,2267
vbscript,2015,2034
vbscript,2016,1234
winapi,2008,1751
winapi,2009,5628
winapi,2010,6303
winapi,2011,6442
winapi,2012,6074
winapi,2013,5624
winapi,2014,4233
winapi,2015,3542
winapi,2016,1808
wolfram-mathematica,2008,8
wolfram-mathematica,2009,132
wolfram-mathematica,2010,529
wolfram-mathematica,2011,2572
wolfram-mathematica,2012,535
wolfram-mathematica,2013,296
wolfram-mathematica,2014,182
wolfram-mathematica,2015,132
wolfram-mathematica,2016,79
wpf,2008,2350
wpf,2009,15239
wpf,2010,23212
wpf,2011,28628
wpf,2012,26486
wpf,2013,26461
wpf,2014,23221
wpf,2015,19845
wpf,2016,11852
xaml,2008,458
xaml,2009,3277
xaml,2010,3996
xaml,2011,6299
xaml,2012,8379
xaml,2013,9417
xaml,2014,9941
xaml,2015,8773
xaml,2016,5467
xml,2008,3345
xml,2009,13420
xml,2010,19054
xml,2011,28341
xml,2012,29654
xml,2013,29993
xml,2014,29517
xml,2015,25575
xml,2016,16830
xna,2008,146
xna,2009,597
xna,2010,1288
xna,2011,1922
